gene1	gene_type	gene2	gene_type	combined_score
Serpina3k	Down	Hpd	Down	432
Serpina1b	Down	Serpina1a	Down	432
Mug1	Down	Apoc3	Down	432
Fgg	Down	Apob	Down	432
Serpina3k	Down	Cfi	Down	431
Rdh7	Down	Gc	Down	431
Pzp	Down	Apoa1	Down	431
Plg	Down	Cyp2a12	Down	431
F2	Down	Azgp1	Down	431
Rdh7	Down	Apoa5	Down	430
Kng2	Down	Ambp	Down	430
Kng1	Down	Apoa5	Down	430
Fgg	Down	Apof	Down	430
Cps1	Down	Apoa2	Down	430
Azgp1	Down	Apoa1	Down	430
Rdh7	Down	Cyp2j5	Down	429
Cps1	Down	Apof	Down	429
Serpinc1	Down	Cps1	Down	428
Rdh7	Down	Mat1a	Down	428
Plg	Down	Cyp3a25	Down	428
Otc	Down	Alb	Down	428
Mat1a	Down	Ahsg	Down	428
Hp	Down	Apcs	Down	428
Cox8b	Down	Ckm	Down	428
Rdh7	Down	Fgg	Down	427
Otc	Down	Hpd	Down	427
Hnf4a	Down	Apoa2	Down	427
Azgp1	Down	Ahsg	Down	427
Serpinc1	Down	Azgp1	Down	426
Rdh7	Down	Apoa2	Down	426
Mat1a	Down	Cyp2a12	Down	426
Hpx	Down	Akr1c6	Down	426
Gc	Down	Akr1c6	Down	426
Mug1	Down	Cps1	Down	425
Fgb	Down	Cyp2d26	Down	425
Fgb	Down	Apof	Down	425
Cyp2a12	Down	Ces1c	Down	425
Ces1c	Down	Ahsg	Down	425
Serpinc1	Down	Kng2	Down	424
Rdh7	Down	Otc	Down	424
Rdh7	Down	Ahsg	Down	424
Pzp	Down	Hpx	Down	424
Otc	Down	Cyp3a25	Down	424
Ces1c	Down	Apoa5	Down	424
Apof	Down	Akr1c6	Down	424
Mug1	Down	Cpn2	Down	423
Mat1a	Down	Ces1c	Down	423
Gc	Down	Apof	Down	423
Cyp3a25	Down	Ambp	Down	423
Apoa5	Down	Akr1c6	Down	423
Rdh7	Down	Mug1	Down	422
Rdh7	Down	Hrg	Down	422
Rdh7	Down	Fgb	Down	422
Pck1	Down	Cd36	Down	422
Mat1a	Down	Fgb	Down	422
Mat1a	Down	Cyp2d26	Down	422
Kng1	Down	Crisp3	Up	422
Apoc3	Down	Akr1c6	Down	422
Plg	Down	Fgl1	Down	421
Mat1a	Down	Apoa5	Down	421
Mat1a	Down	Akr1c6	Down	421
Hp	Down	Ahsg	Down	421
Cps1	Down	Cfi	Down	421
Apoa5	Down	Ahsg	Down	421
Pzp	Down	Azgp1	Down	420
Hpd	Down	Akr1c6	Down	420
Cyp2d26	Down	Apof	Down	420
Akr1c6	Down	Ahsg	Down	420
Serpina1a	Down	Hpx	Down	419
Rdh7	Down	Cyp2c29	Down	419
Myl1	Down	Kcnn4	Up	419
Myl1	Down	Cox8b	Down	419
Klk1b3	Up	Klk1b26	Up	419
Klk1b3	Up	Klk1	Up	419
Hpx	Down	Cyp3a11	Down	419
Tat	Down	Cyp3a11	Down	418
Mug1	Down	Fgg	Down	418
Mug1	Down	Apof	Down	418
Hrg	Down	Apcs	Down	418
Hp	Down	Hamp	Down	418
Hnf4a	Down	Cyp2e1	Down	418
Fgb	Down	Cps1	Down	418
F2	Down	Cyp2j5	Down	418
Cyp4a10	Down	Cyp2d10	Down	418
Serpinc1	Down	Serpina1b	Down	417
Serpina1b	Down	Fgg	Down	417
Kng1	Down	Cyp2a12	Down	417
Fgg	Down	Apoa5	Down	417
Plet1	Up	Epcam	Up	416
Fgg	Down	Cyp2d26	Down	416
Fgg	Down	Cps1	Down	416
Cyp2a12	Down	Apoc3	Down	416
Cfi	Down	Apof	Down	416
Serpinc1	Down	Cyp3a25	Down	415
Serpina1c	Down	Fgb	Down	415
Plg	Down	Cyp2j5	Down	415
Plg	Down	Azgp1	Down	415
Hrg	Down	Cps1	Down	415
Hpx	Down	Cps1	Down	415
H2-Q10	Down	Cyp2a12	Down	415
Fgg	Down	Akr1c6	Down	415
Cyp2d26	Down	Apoa2	Down	415
Cyp2a12	Down	Apof	Down	415
Serpina1c	Down	Fgg	Down	414
Serpina1b	Down	Fgb	Down	414
Mat1a	Down	Hrg	Down	414
Hnf4a	Down	Apoa5	Down	414
Ces1c	Down	Apoa2	Down	414
Serpina1a	Down	Cfi	Down	413
Otc	Down	Ces1c	Down	413
Otc	Down	Apoa2	Down	413
Mat1a	Down	Gc	Down	413
Fgb	Down	Cyp2a12	Down	413
Cyp2c29	Down	Apoc3	Down	413
Cps1	Down	Apoa5	Down	413
Pzp	Down	Akr1c6	Down	412
Kng1	Down	Klk1b8	Up	412
Kng1	Down	Akr1c6	Down	412
Hrg	Down	Akr1c6	Down	412
Gc	Down	Azgp1	Down	412
Fabp1	Down	Cyp3a11	Down	412
Cyp2d26	Down	Apoa5	Down	412
Cfi	Down	Apoc3	Down	412
Serpina1d	Down	Hpx	Down	411
Mug1	Down	Apoa2	Down	411
Cyp3a25	Down	Apof	Down	411
Cyp2d10	Down	Ambp	Down	411
Cps1	Down	Ces1c	Down	411
Cps1	Down	Alas2	Up	411
Pzp	Down	Fgb	Down	410
Kng1	Down	Fabp1	Down	410
Hpd	Down	Gc	Down	410
Apoa2	Down	Akr1c6	Down	410
Serpina1b	Down	Ahsg	Down	409
Kng1	Down	Klk1b1	Up	409
Itih1	Down	F2	Down	409
Fgb	Down	Apoa5	Down	409
Serpinc1	Down	Cyp2a12	Down	408
Saa4	Down	Apoa1	Down	408
Pzp	Down	Fgg	Down	408
Mug1	Down	Ces1c	Down	408
Mat1a	Down	Cyp3a25	Down	408
Fgl1	Down	Apcs	Down	408
F2	Down	Apcs	Down	408
Cyp2a12	Down	Apoa5	Down	408
Slc10a1	Down	Otc	Down	407
Serpinc1	Down	Otc	Down	407
Otc	Down	Cyp2a12	Down	407
Mug1	Down	Mat1a	Down	407
Mug1	Down	Cyp2d26	Down	407
Lmod2	Down	Ckm	Down	407
Lmod2	Down	Actg2	Up	407
Kng1	Down	Ces1c	Down	407
Fabp1	Down	Ces1c	Down	407
Cyp4a10	Down	Cyp2d26	Down	407
Ces1c	Down	Apoc3	Down	407
Rdh7	Down	Azgp1	Down	406
Hpd	Down	Apoa5	Down	406
Cyp2d26	Down	Ahsg	Down	406
Smr3a	Up	Dcpp2	Up	405
Serpina1c	Down	Cfi	Down	405
Hpx	Down	Ces1c	Down	405
Gc	Down	Apoa5	Down	405
Azgp1	Down	Akr1c6	Down	405
Prol1	Up	Muc13	Up	404
Gm6710	Down	Actg2	Up	404
Gc	Down	Ces1c	Down	404
Tat	Down	Alb	Down	403
Pck1	Down	Apoa1	Down	403
Kng1	Down	Cpn2	Down	403
Fabp1	Down	Ambp	Down	403
Cyp2e1	Down	Ces1d	Down	403
Serpina1d	Down	Pzp	Down	402
Pck1	Down	Cyp2e1	Down	402
Otc	Down	Apof	Down	402
Fbp1	Down	Cpn2	Down	402
Cyp4a10	Down	Apoc3	Down	402
Tnnc2	Down	Myom2	Down	401
Pip	Up	Krt7	Up	401
Itih1	Down	Ahsg	Down	401
Cps1	Down	Cpn2	Down	401
Ces1c	Down	Apoa1	Down	401
Serpina1b	Down	Orm1	Down	400
Klk1b16	Up	Hp	Down	400
Xirp2	Down	Ckm	Down	399
Slc10a1	Down	Cyp2c29	Down	399
Slc10a1	Down	Apoc3	Down	399
Serpina1a	Down	Apoa2	Down	399
Otc	Down	F2	Down	399
Itih1	Down	Cpn2	Down	399
Hpx	Down	Azgp1	Down	399
Hpd	Down	Cyp2c29	Down	399
Scgb2b26	Up	Scgb1b27	Up	398
Rdh7	Down	Hpd	Down	398
Myl1	Down	Actg2	Up	397
Mug1	Down	Alb	Down	397
Mat1a	Down	Cfi	Down	397
Fgb	Down	Apob	Down	397
Serpina1b	Down	Apoa2	Down	396
Mylpf	Down	Kcnn4	Up	396
Apoa5	Down	Ambp	Down	396
Slc10a1	Down	Akr1c6	Down	395
Serpina1d	Down	Apoc3	Down	395
Serpina1b	Down	Hpx	Down	395
Klk1b16	Up	BC048546	Up	395
Cyp2c29	Down	Ambp	Down	395
Cps1	Down	Cpb2	Down	395
Tg	Down	Pth	Down	394
Serpinc1	Down	Cyp2j5	Down	394
Serpina1d	Down	Hrg	Down	394
Myom2	Down	Alb	Down	394
Hnf4a	Down	Alb	Down	394
Azgp1	Down	Apoc3	Down	394
Atp6v0d2	Up	Alb	Down	394
Serpina3k	Down	Ambp	Down	393
Pzp	Down	Ambp	Down	393
Itih1	Down	Ces1c	Down	393
Cyp2j5	Down	Apoc3	Down	393
Cyp2c50	Down	Akr1c6	Down	393
Slc10a1	Down	Apoa1	Down	392
Plg	Down	Cyp2d10	Down	392
Otc	Down	Cyp2d26	Down	392
Hrg	Down	Ces1c	Down	392
Hpx	Down	Hamp	Down	391
Hp	Down	F2	Down	391
H2-Q10	Down	Cyp1a2	Down	391
Slc10a1	Down	Cyp1a2	Down	390
Saa4	Down	Apoc3	Down	390
Rdh7	Down	Pzp	Down	390
Mug1	Down	Cpb2	Down	390
Serpina1d	Down	Rdh7	Down	389
Apoa5	Down	Alb	Down	389
Mug1	Down	Cfi	Down	388
Ces1c	Down	Apof	Down	388
Tg	Down	F2	Down	387
Serpina1d	Down	Azgp1	Down	387
Klk1b26	Up	Klk1	Up	387
Serpina1b	Down	Cfi	Down	386
Pzp	Down	Apoc3	Down	386
Serpinc1	Down	Apoa4	Down	385
Serpina1a	Down	Ahsg	Down	385
Saa4	Down	Apcs	Down	385
Otc	Down	Apoa5	Down	385
Hpd	Down	Apof	Down	385
Tg	Down	Apoa1	Down	384
Pck1	Down	Fabp1	Down	384
Myl1	Down	Alb	Down	384
Mug1	Down	Ambp	Down	384
Klk1b24	Up	BC048546	Up	384
Hrg	Down	Cyp2j5	Down	384
Gc	Down	Cyp2d10	Down	384
Serpina1d	Down	Gc	Down	383
Hpd	Down	Cyp1a2	Down	383
Cyp2j5	Down	Ces1c	Down	383
Cyp2a12	Down	Alb	Down	383
Rdh7	Down	Kng2	Down	382
Mat1a	Down	Itih1	Down	382
Hpx	Down	Cyp2d26	Down	382
Cyp2c29	Down	Alb	Down	382
Apcs	Down	Alb	Down	382
Serpina1d	Down	Kng1	Down	381
Scgb2b27	Up	Scgb1b27	Up	381
Mug1	Down	Apoa5	Down	381
Hnf4a	Down	Cyp2b9	Down	381
Gc	Down	Cyp3a11	Down	381
Myom2	Down	Myl1	Down	379
Mucl2	Up	Bpifa2	Up	379
Kng1	Down	Azgp1	Down	379
Hpd	Down	Apoa2	Down	379
Cyp2d26	Down	Ces1c	Down	379
Cfi	Down	Apoa2	Down	379
Smgc	Up	Prol1	Up	378
Slc10a1	Down	Cps1	Down	378
Otc	Down	Ambp	Down	378
Ngf	Up	F2	Down	378
Kng2	Down	Cyp2d26	Down	378
Klk1b9	Up	Apob	Down	378
Hnf4a	Down	Cyp2d26	Down	378
Elf5	Up	Ehf	Up	378
Azgp1	Down	Apof	Down	378
Pck1	Down	Apob	Down	377
Klk1b3	Up	Acpp	Up	377
Hamp	Down	Apoc3	Down	377
Cyp3a11	Down	Ambp	Down	377
Cyp2e1	Down	Azgp1	Down	377
Cfi	Down	Ces1c	Down	377
Otc	Down	Cyp2c29	Down	376
Klk1b8	Up	Apob	Down	376
Klk1b5	Up	Apob	Down	376
Klk1b4	Up	Klk1b26	Up	376
Klk1b4	Up	Ambp	Down	376
Klk1b3	Up	Ambp	Down	376
Klk1b27	Up	Ambp	Down	376
Klk1b26	Up	Ambp	Down	376
Klk1b24	Up	Ambp	Down	376
Klk1b22	Up	Ambp	Down	376
Klk1b21	Up	Ambp	Down	376
Klk1b16	Up	Ambp	Down	376
Klk1b11	Up	Ambp	Down	376
Klk1b1	Up	Ambp	Down	376
Klk1	Up	Ambp	Down	376
Hp	Down	Apoc3	Down	376
Cyp2j5	Down	Apoa5	Down	376
Cyp2e1	Down	Apoc3	Down	376
Cyp2a12	Down	Cfi	Down	376
Hrg	Down	Apof	Down	375
Apof	Down	Apob	Down	375
Otc	Down	Mug1	Down	374
Mat1a	Down	Azgp1	Down	374
Kng2	Down	Klk1b8	Up	374
Plet1	Up	Cldn7	Up	373
Epcam	Up	Ehf	Up	373
Cyp2c37	Down	Akr1c6	Down	373
Serpina1c	Down	Ambp	Down	372
Pzp	Down	Gc	Down	372
Otc	Down	Hpx	Down	372
Kng2	Down	Cps1	Down	372
Hamp	Down	Alb	Down	372
Fabp1	Down	Cps1	Down	372
F2	Down	Cyp3a11	Down	372
Serpina3k	Down	Klk1b9	Up	371
Pzp	Down	Cyp2e1	Down	371
Plg	Down	Cyp1a2	Down	371
Kng2	Down	Apof	Down	371
Hrg	Down	Cfi	Down	371
Ehf	Up	Cldn7	Up	371
Cyp3a25	Down	Apoa5	Down	371
Cps1	Down	Azgp1	Down	371
Plet1	Up	Esrp1	Up	370
Mug1	Down	Cyp2a12	Down	370
Kng1	Down	Cyp2j5	Down	370
Cyp2d10	Down	Apoa1	Down	370
Plg	Down	Apoa4	Down	369
Kng1	Down	Cyp2d10	Down	369
Klk1b26	Up	Klk1b24	Up	369
Itih1	Down	Hpx	Down	369
Fgg	Down	Cyp2a12	Down	369
Serpinc1	Down	Hamp	Down	368
Klk1b27	Up	BC048546	Up	368
Klk1b22	Up	BC048546	Up	368
Hpx	Down	Cpb2	Down	368
Pzp	Down	Mat1a	Down	367
Otc	Down	Hrg	Down	367
Azgp1	Down	Ambp	Down	367
Serpina3k	Down	Mug1	Down	366
Serpina3k	Down	Klk1b5	Up	366
Serpina1d	Down	Cps1	Down	366
Rdh7	Down	Cyp2c37	Down	366
Otc	Down	Kng1	Down	366
Mug1	Down	Itih1	Down	366
Cyp2a12	Down	Apoa2	Down	366
Cpn2	Down	Cfi	Down	366
Cfi	Down	Akr1c6	Down	366
Apob	Down	Ambp	Down	366
Tat	Down	Akr1c6	Down	365
Serpinc1	Down	Cyp2c37	Down	365
Serpina1c	Down	Klk1b9	Up	365
Plg	Down	Hamp	Down	365
Plg	Down	Cpn2	Down	365
Pck1	Down	Alb	Down	365
Krt7	Up	Cldn7	Up	365
Klk1b26	Up	BC048546	Up	365
Cyp2a12	Down	Apoa1	Down	365
Tg	Down	Duox2	Up	364
Otc	Down	Apob	Down	364
Klk1b1	Up	Acpp	Up	364
Hpx	Down	Cyp2j5	Down	364
H2-Q10	Down	Ces1c	Down	364
Fgg	Down	Azgp1	Down	364
Cyp2a12	Down	Ambp	Down	364
Serpina1d	Down	Mat1a	Down	363
Serpina1d	Down	Apoa2	Down	363
Serpina1b	Down	Apoc3	Down	363
Serpina1a	Down	Orm1	Down	363
Pzp	Down	Cps1	Down	363
Plin1	Down	Pck1	Down	363
Hpx	Down	Fabp1	Down	363
Hnf4a	Down	Cyp2c29	Down	363
Gc	Down	Cyp2a12	Down	363
Fgg	Down	Cyp2j5	Down	363
Serpina1d	Down	Cyp2e1	Down	362
Serpina1c	Down	Apoc3	Down	362
Serpina1b	Down	Gc	Down	362
Hp	Down	Cd36	Down	362
Fgb	Down	Cyp3a25	Down	362
Cyp2e1	Down	Akr1c6	Down	362
Tat	Down	Apoa5	Down	361
Plg	Down	Pkp1	Up	361
Hrg	Down	Cyp2a12	Down	361
Fabp1	Down	Ces1d	Down	361
Esrp1	Up	Ehf	Up	361
Pck1	Down	Ces1d	Down	360
Hpd	Down	Fgb	Down	360
Cyp2d10	Down	Apof	Down	360
Tnnt3	Down	Alb	Down	359
Otc	Down	Fabp1	Down	359
Cpb2	Down	Apof	Down	359
Cfi	Down	Apob	Down	359
Azgp1	Down	Alb	Down	359
Xirp2	Down	Tnnt3	Down	358
Xirp2	Down	Myl1	Down	358
Serpina1c	Down	Klk1b8	Up	358
Myh4	Down	Ampd1	Down	358
Kng2	Down	Apoa1	Down	358
Hrg	Down	Apoa2	Down	358
Cyp2j5	Down	Ambp	Down	358
Cyp2d10	Down	Alb	Down	358
Tat	Down	Serpinc1	Down	357
Serpina1c	Down	Klk1b5	Up	357
Mug1	Down	Fabp1	Down	357
Kng2	Down	Gc	Down	357
Serpina1d	Down	Apof	Down	356
Serpina1d	Down	Akr1c6	Down	356
Rdh7	Down	Itih1	Down	356
Plg	Down	Cyp2c29	Down	356
Itih1	Down	Apof	Down	356
Tnni2	Down	Lmod2	Down	355
Serpina3k	Down	Klk1b8	Up	355
Serpina1d	Down	Mug1	Down	355
Mug1	Down	Cyp3a25	Down	355
Kng2	Down	Cyp2a12	Down	355
Itih1	Down	Fgg	Down	355
Dcpp2	Up	Bpifa2	Up	355
Cyp3a11	Down	Apoa5	Down	355
Mat1a	Down	Fabp1	Down	354
Hpd	Down	Cyp3a11	Down	354
Hpd	Down	Alas2	Up	354
Fabp1	Down	Cyp2a12	Down	354
Kng1	Down	Cyp3a25	Down	353
Hpx	Down	Hpd	Down	353
Hp	Down	Cpb2	Down	353
Gc	Down	Cyp3a25	Down	353
Fabp1	Down	Apof	Down	353
Cfi	Down	Apoa5	Down	353
Klk1b5	Up	F2	Down	352
Fgb	Down	Cyp2d10	Down	352
Fgb	Down	Azgp1	Down	352
Otc	Down	Cyp2j5	Down	351
Mug1	Down	Cyp2j5	Down	351
Mug1	Down	Cyp2d10	Down	351
Klk1b8	Up	F2	Down	351
Fgl1	Down	Cfi	Down	351
F2	Down	Cyp2e1	Down	351
Cyp3a25	Down	Apoa2	Down	351
Serpina1a	Down	Apoc3	Down	350
Pip	Up	Bpifa2	Up	350
Kng2	Down	Cpn2	Down	350
F2	Down	Cyp3a25	Down	350
Dcpp3	Up	Bpifa2	Up	350
Smr3a	Up	Bpifa2	Up	349
Serpina1c	Down	Egf	Up	349
Mat1a	Down	Kng2	Down	349
Klk1b26	Up	Klk1b16	Up	349
Egf	Up	Cldn4	Up	349
Serpina3k	Down	Gc	Down	348
Serpina1b	Down	Ambp	Down	348
Lrrc26	Up	Fbp1	Down	348
Kng1	Down	Hpd	Down	348
Klk1b27	Up	Klk1b24	Up	348
Hrg	Down	Hp	Down	348
Tnn	Up	Plg	Down	347
Prol1	Up	Muc19	Up	347
Plg	Down	Myom2	Down	347
Hpd	Down	Ahsg	Down	347
Fgg	Down	Cpb2	Down	347
Fbp1	Down	Actg2	Up	347
Uroc1	Down	Hpd	Down	346
Tat	Down	Apoa1	Down	345
Serpina1d	Down	Orm1	Down	345
Serpina1c	Down	Klk1b1	Up	345
Otc	Down	Fgg	Down	345
Orm1	Down	Gc	Down	345
Kng1	Down	Apcs	Down	345
Klk1b9	Up	F2	Down	345
Hpx	Down	Cyp3a25	Down	345
Mat1a	Down	Cyp2j5	Down	344
Cyp3a11	Down	Apof	Down	344
Slc10a1	Down	Apoa5	Down	343
Plg	Down	Hp	Down	343
Mat1a	Down	Cyp2c37	Down	343
Gc	Down	Cyp2c29	Down	343
Fabp1	Down	Cfi	Down	343
Cyp2c54	Down	Akr1c6	Down	343
Cyp2a12	Down	Azgp1	Down	343
Serpinc1	Down	Klk1b11	Up	342
Rdh7	Down	Cyp1a2	Down	342
Plin1	Down	Cd36	Down	342
Plg	Down	Hnf4a	Down	342
Mat1a	Down	Cyp2d10	Down	342
Klk1b21	Up	BC048546	Up	342
Hp	Down	Fgl1	Down	342
F2	Down	Cyp1a2	Down	342
Cyp2a12	Down	Ahsg	Down	342
Xirp2	Down	Tnni2	Down	341
Ucp1	Down	Slc36a2	Down	341
Kng1	Down	Klk1	Up	341
Fgl1	Down	Fgg	Down	341
Cyp2j5	Down	Apoa2	Down	341
Cyp2e1	Down	Cps1	Down	341
Saa4	Down	Hpx	Down	340
Myom2	Down	Cox8b	Down	340
Cyp1a2	Down	Cps1	Down	340
Slc10a1	Down	Rdh7	Down	339
Otc	Down	Kng2	Down	339
Klk1b9	Up	Cpb2	Down	339
Klk1b5	Up	Cpb2	Down	339
Itih1	Down	Apoa5	Down	339
Xirp2	Down	Mylpf	Down	338
Slc10a1	Down	Cyp2d26	Down	338
Pzp	Down	Mug1	Down	338
Mat1a	Down	Cyp3a11	Down	338
Gc	Down	Apob	Down	338
Fabp4	Down	Cox8b	Down	338
Cpb2	Down	Alb	Down	338
Serpinc1	Down	H2-Q10	Down	337
H2-Q10	Down	Fgb	Down	337
Esrp1	Up	Cldn4	Up	337
Cyp2j5	Down	Apof	Down	337
Pzp	Down	Kng1	Down	336
Pzp	Down	Apof	Down	336
Pth	Down	Plg	Down	336
Otc	Down	Cyp2c37	Down	336
Orm1	Down	Apoc3	Down	336
Kng2	Down	Cyp2c29	Down	336
Fgl1	Down	Fgb	Down	336
Cyp4a10	Down	Cyp2c50	Down	336
Serpinc1	Down	Cyp2d10	Down	335
Hrg	Down	Cyp2e1	Down	335
Hpx	Down	Apoa4	Down	335
Fgg	Down	Cyp3a25	Down	335
Cpb2	Down	Apoa5	Down	335
Tnni2	Down	Cox8b	Down	334
Saa4	Down	Orm1	Down	334
Plg	Down	Cyp2c37	Down	334
Itih1	Down	Cpb2	Down	334
Azgp1	Down	Apoa2	Down	334
Serpinc1	Down	Serpina3k	Down	333
Serpina3k	Down	Cps1	Down	333
Serpina1d	Down	Cyp2j5	Down	333
Mug1	Down	Azgp1	Down	333
Hrg	Down	Cpb2	Down	333
Cyp2d10	Down	Apoa5	Down	333
Serpina3k	Down	Klk1b1	Up	332
Serpina1a	Down	Cyp3a11	Down	332
Scgb2b27	Up	Alb	Down	332
Otc	Down	Fgb	Down	332
Kng2	Down	Cyp3a25	Down	332
Gc	Down	Apoa4	Down	332
Ckm	Down	Art1	Down	332
Xirp2	Down	Mybpc2	Down	331
Tat	Down	Apof	Down	331
Kng2	Down	Klk1b4	Up	331
Kng2	Down	Klk1b3	Up	331
Kng2	Down	Klk1b22	Up	331
Kng2	Down	Klk1b1	Up	331
Kng2	Down	Klk1	Up	331
Kng1	Down	Klk1b4	Up	331
Kng1	Down	Klk1b3	Up	331
Kng1	Down	Klk1b22	Up	331
Klk1b8	Up	Cpb2	Down	331
Fgb	Down	Cpb2	Down	331
Esrp1	Up	Elf5	Up	331
Cyp4f18	Down	Cyp2d10	Down	331
Cyp3a25	Down	Alb	Down	331
Cyp2d26	Down	Cpb2	Down	331
Slc10a1	Down	Cyp2e1	Down	330
Kng2	Down	Klk1b27	Up	330
Kng2	Down	Klk1b24	Up	330
Kng2	Down	Klk1b21	Up	330
Kng2	Down	Klk1b11	Up	330
Kng1	Down	Klk1b27	Up	330
Kng1	Down	Klk1b24	Up	330
Kng1	Down	Klk1b21	Up	330
Kng1	Down	Klk1b11	Up	330
Klk1b3	Up	Klk1b24	Up	330
Klk1b11	Up	BC048546	Up	330
Itih1	Down	Fgb	Down	330
Hp	Down	Apoa4	Down	330
Fgb	Down	Apoa4	Down	330
Elovl3	Down	Cox8b	Down	330
Crisp1	Up	Bpifa2	Up	330
Slc10a1	Down	Serpinc1	Down	329
Slc10a1	Down	Plg	Down	329
Serpina1a	Down	Klk1b5	Up	329
Saa4	Down	Apoa2	Down	329
Kng1	Down	Cyp2c29	Down	329
Klk1b22	Up	Bpifa2	Up	329
Itih1	Down	Ces1d	Down	329
Serpina3k	Down	Apoc3	Down	328
Saa4	Down	Nat8f2	Down	328
Plg	Down	Klk1b5	Up	328
Hpd	Down	Cyp2a12	Down	328
Cyp2e1	Down	Apoa1	Down	328
Tat	Down	Hrg	Down	327
Fgb	Down	Apcs	Down	327
Hp	Down	Apoa2	Down	326
Epcam	Up	Alb	Down	326
Bcl2l14	Up	Ankrd61	Up	326
Serpinc1	Down	Klk1	Up	325
Serpina3k	Down	Apoa1	Down	325
Otc	Down	Gc	Down	325
Serpina1a	Down	Klk1b9	Up	324
Serpina1a	Down	Klk1b8	Up	324
Saa4	Down	Cpn2	Down	324
Saa4	Down	Ambp	Down	324
Pzp	Down	Apob	Down	324
Kng2	Down	Apoc3	Down	324
Hnf4a	Down	Cyp2d10	Down	324
Tpo	Down	Dio1	Down	323
Tg	Down	Apob	Down	323
Tat	Down	Cyp2d26	Down	323
Otc	Down	Cyp2d10	Down	323
Otc	Down	Cfi	Down	323
Mug1	Down	Hp	Down	323
Mat1a	Down	Hamp	Down	323
Hamp	Down	Apoa5	Down	323
Serpina1c	Down	Klk1	Up	322
Mug1	Down	Hpd	Down	322
Fabp4	Down	Alb	Down	322
Cyp3a25	Down	Ces1c	Down	322
Cyp2c37	Down	Cps1	Down	322
Pzp	Down	Ahsg	Down	321
Cyp3a25	Down	Cfi	Down	321
Tnnt3	Down	Cox8b	Down	320
Tat	Down	Cyp2c29	Down	320
Serpina1c	Down	Orm1	Down	320
Myom2	Down	Mybpc2	Down	320
Ces1d	Down	Car3	Down	320
Azgp1	Down	Apoa5	Down	319
Saa4	Down	Itih1	Down	318
Mat1a	Down	Cyp2e1	Down	318
Krt7	Up	Cldn4	Up	318
Crisp1	Up	Cldn8	Up	318
Ckm	Down	Alb	Down	318
Apof	Down	Apoa4	Down	318
Tat	Down	Cyp2d10	Down	317
Serpina3k	Down	Klk1b24	Up	317
Klk1b8	Up	Hrg	Down	317
Hpx	Down	Cyp2a12	Down	317
Art1	Down	Alb	Down	317
Slc10a1	Down	Cyp3a25	Down	316
Serpina1c	Down	Klk1b11	Up	316
Plin1	Down	Aqp7	Down	316
Klk1b5	Up	Hrg	Down	316
Hrg	Down	Cyp3a25	Down	316
H2-Q10	Down	Cyp2c37	Down	316
F2	Down	Cyp2c29	Down	316
Cyp2d26	Down	Cpn2	Down	316
Cyp2d10	Down	Cfi	Down	316
Cpb2	Down	Ahsg	Down	316
Ucp1	Down	Cd36	Down	315
Serpina1b	Down	Klk1b22	Up	315
Rdh7	Down	Cpb2	Down	315
Plg	Down	Klk1b9	Up	315
Hnf4a	Down	Fbp1	Down	315
Gc	Down	Cyp2j5	Down	315
Klk1b9	Up	Hrg	Down	314
Hp	Down	Azgp1	Down	314
H2-Q10	Down	Cyp2d26	Down	314
Fgg	Down	Apoa4	Down	314
Fgg	Down	Apcs	Down	314
Ckm	Down	Ampd1	Down	314
Ces1d	Down	Apob	Down	314
Slc6a4	Up	Alb	Down	313
Slc10a1	Down	Apoa2	Down	313
Serpina3k	Down	Klk1b3	Up	313
Serpina3k	Down	Klk1	Up	313
Pzp	Down	Hp	Down	313
Pzp	Down	Ces1c	Down	313
Plg	Down	Cyp2e1	Down	313
Mup5	Up	Mug1	Down	313
Mucl2	Up	Dcpp3	Up	313
Fabp1	Down	Cyp2e1	Down	313
Orm1	Down	Apoa1	Down	312
Cyp2c29	Down	Cpn2	Down	312
Cyp2c29	Down	Apof	Down	312
Apof	Down	Apcs	Down	312
Orm1	Down	Itih1	Down	311
Klk1b1	Up	BC048546	Up	311
Itih1	Down	Apoa1	Down	311
Tat	Down	Mug1	Down	310
Hbq1a	Down	Alas2	Up	310
Cyp3a11	Down	Apoa4	Down	310
Ces1d	Down	Apoa1	Down	310
Ces1d	Down	Alb	Down	310
Scnn1b	Up	Dcpp3	Up	309
Plin1	Down	Ces1d	Down	309
Mucl2	Up	Epcam	Up	309
Mucl2	Up	Dcpp2	Up	309
Serpina1d	Down	Klk1b9	Up	308
Serpina1d	Down	Klk1b8	Up	308
Serpina1d	Down	Klk1b5	Up	308
Kng2	Down	Hp	Down	308
Itih1	Down	Ces3a	Down	308
Serpina1c	Down	Kng1	Down	307
Scnn1b	Up	Dcpp2	Up	307
Myom2	Down	Art1	Down	307
H2-Q10	Down	Cyp2e1	Down	307
Serpina1d	Down	Ces1c	Down	306
Klk1b4	Up	BC048546	Up	306
Klk1	Up	Acpp	Up	306
Cyp4f18	Down	Cyp1a2	Down	306
Cyp3a11	Down	Ces1c	Down	306
Serpina3k	Down	Cyp2c29	Down	305
Klk1b3	Up	BC048546	Up	305
Cyp2d10	Down	Cpn2	Down	305
Cpb2	Down	Apcs	Down	305
Apob	Down	Apcs	Down	305
Serpina1a	Down	Klk1	Up	304
